label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13
0	792 m^3	0.7983	Lise	Modesto	1.0557	486	Statistics	0.8719	1015	992	Tony	-0.1701	1227	1013
5	1086 m^3	1.02	Sam	San Jose	0.8161	-35	Natural Language Processing	1.1924	987	1357	Eriq	0.6899	793	388
3	863 m^3	0.4824	Fabrice	Fremont, Chula Vista	0.8565	374	Technology and Information Management	0.1917	792		Vani	0.7003	781	896
4	898 m^3	1.1048	Tony	Sacramento	0.4238	1095	Computer Science	0.7747	816	710	Fabrice	0.7845	449	729
1	1328 m^3	1.1725	Sam	Stockton	0.9716	744	Games and Playable Media	0.6738	1101	1077	Chris	1.1591	134	956
5	1229 m^3	0.7185	Michael	Los Angeles	1.0003	420	Natural Language Processing	1.0364	926	1290	Andrew	0.795	1141	255
9	425 m^3	0.4577	Vani	Long Beach	0.9656	868	Bioengineering	0.604	504	826	Reilly	0.8133	743	976
6	1026 m^3	0.6135	Chris	San Francisco	1.0266	1014	Biotechnology	0.8722	125	1205	Andrew	0.8541	194	953
5	1232 m^3	1.0292	Michael	Irvine	1.0187	852	Natural Language Processing	0.8829	561	1234	Eriq	0.7862	941	440
2	1193 m^3	0.9555	Eriq	Bakersfield	0.0249	1137	Human Computer Interaction	1.3689	1068	825	Lise	0.9114	1092	852
1	1087 m^3	0.7507	Sam	Stockton	1.1657	1390	Bioinformatics	0.2317	844	994	Chris	0.8679	-113	1162
1	977 m^3	0.8601	Sam	Stockton	0.9129	835	Bioinformatics	0.6989	733	None	Chris	1.1135	-376	1172
8	857 m^3	0.2826	Reilly	Fresno, Oakland	0.5394	851	Computer Engineering	1.079	1137	352	Michael	0.769	1223	723
8	945 m^3	-0.0389	Reilly	Long Beach	0.6861	921	Computational Media	0.9825	789	378	Michael	1.0892	1000	1029
9	554 m^3	0.6788	Vani	Long Beach	0.945	935	Bioengineering	1.314	182	1137	Reilly	1.181	971	1147
4	?	0.7109	Andrew	Santa Ana, Fremont	0.488	1319	Computer Science	0.4959	731	646	Fabrice	0.7309	887	747
1	813 m^3	0.9956	Sam	Irvine	0.8892	938	Games and Playable Media	0.6086	n/a	436	Chris	0.8078	64	944
0	1008 m^3	1.0453	Lise	San Diego	0.9652	708	Statistics	1.0798	1161	790	Inan	0.1755	1222	1059
9	428 m^3	0.5677	Vani	Irvine	1.0147	1062	Data Science	1.0538	508	1068	Reilly	1.0937	1401	1181
3	890 m^3	0.5655	Fabrice	SANTA ANA	0.608	120	Technology and Information Management	0.6247	865	855	Vani	1.1046	994	1108
1	1372 m^3	0.5493	Sam	Stockton	1.042	705	Games and Playable Media	0.4212	1005	722	Chris	0.9645	83	1166
4	1185 m^3	0.9751	Inan	Sacramento	0.4254	930	Computer Science	0.1194	1032	727	Fabrice	0.9748	654	600
8	984 m^3	0.4092	Reilly	Fresno, San Bernardino	0.7375	1023	Computer Engineering	0.8532	1163	340	Michael	1.1647	680	1291
1	1092 m^3	0.9493	Sam	Stockton	1.0793	698	Bioinformatics	0.8008	681	949	Chris	0.7541	-387	1022
4	871 m^3	0.8635	Inan	Sacramento	0.5431	804	Computer Science	0.3432	876	999	Fabrice	0.9135	800	694
5	1156 m^3	0.7935	Michael	Irvine	1.0618	749	Applied Mathematics	0.5299	812	960	Eriq	0.6331	881	342
3	1141 m^3	0.6704	Inan	Fremont, Santa Ana	0.8252	385	Technology and Information Management	0.1857	1134	801	Vani	0.9897	1248	962
1	1120 m^3	1.2156	Sam	Stockton	1.0301	1199	Games and Playable Media	0.4693	1098	1016	cHRIS	1.0909	107	1007
4	1064 m^3	0.7261	Inan	riverside	0.3972	711	Computer Science	0.8827	720	1027	Fabrice	1.1955	847	634
4	1049 m^3	0.835	Andrew	Sacramento	0.1862	822	Computer Science	0.8076	657	1111	Fabrice	1.1349	745	887
3	1117 m^3	0.6284	Fabrice	Bakersfield	0.8319	428	Technology and Information Management	0.2798	683	792	Vani	1.2028	1172	1101
5	1025 m^3	0.9428	Michael	Los Angeles	1.0215	556	Computer Science	0.9529	976	963		0.7484	1375	80
4	745 m^3	1.2226	Andrew	San Jose	0.5717	797	Computer Science	0.6807	892	784	Fabrice	0.6701	756	641
4	1140 m^3	1.0793	Vani	Sacramento	0.3486	1133	Computer Science	0.2454	720	794	Fabrice	0.9692	776	982
5	904 m^3	0.7787	Chris	Los Angeles	0.9434	N/A	applied mathematics	1.0804	906	1044	Eriq	0.4054	1362	33
1	1212 m^3	0.8696	Sam	Stockton	1.1224	n/a	Bioinformatics	0.585	1102	1149	Chris	0.7923	-110	1010
4	1122 m^3	0.9155	Inan	Riverside	0.3696	1192	Computer Science	0.639	753	1102	Fabrice	1.1589	889	785
4	1325 m^3	1.2342	Andrew	riverside	0.3485	1052	Computer Science	0.5744	804	958	Fabrice	1.3015	662	733
3	1018 m^3	0.7061	Fabrice	Fremont, Santa Ana	N/A	429	Technology and Information Management	0.505	654	764	Vani	1.0162	1047	648
3	1094 m^3	1.3683	Fabrice	Fremont	0.8598	275	Technology and Information Management	0.283	689	1106	Vani	0.9268	771	1133
3	914 m^3	1.1054	Fabrice	Santa Ana, Chula Vista	0.8548	324	Technology and Information Management	0.1464	935	745	Vani	1.056	805	956
7	983 m^3	0.8544	Vani	San Jose	0.9523	955	Robotics Engineering	0.864	1189	1177	Sam	1.0669	719	973
2	1125 m^3	0.9916	Eriq	Bakersfield	0.0757	955	Human Computer Interaction	1.0384	1000	1110	Lise	1.3172	903	667
1	888 m^3	1.1288	Sam	None	1.0494	783	Bioinformatics	0.5699	1152	1108	Chris	1.2037	215	1139
3	1318 m^3	0.8312	Fabrice	Fremont	0.7787	435	Technology and Information Management	0.2004	683	1171	Vani	1.0766	1029	879
9	445 m^3	0.7016	Vani	Anaheim	0.9516	1017	Bioengineering	0.9661	688	895	Reilly	0.9845	1069	1174
5	1066 m^3	0.7145	Lise	Irvine	0.9307	217	Human Computer Interaction	0.8629	898	871	Eriq	0.603	1006	381
8	839 m^3	0.2416	Inan	Oakland	0.4483	1056	Computer Engineering	0.9904	1003	390	Michael	0.8658	638	1123
5	1274 m^3	0.5806	Michael	Los Angeles	1.1711	483	natural language processing	0.9144	851	NULL	Eriq	0.8459	1257	393
7	897 m^3	0.8087	Chris	San Jose	0.9929	1093	Robotics Engineering	0.6207	1179	1066	Sam	0.9547	156	1284
1	783 m^3	0.7583	Sam	Stockton	1.0576	1129	Bioinformatics	0.7317	1279	None	Chris	1.1827	109	1282
5	1145 m^3	0.8323	Michael	Irvine	1.0521	712	Applied Mathematics	0.9792	673	1016	Eriq	0.6211	1166	370
8	878 m^3	0.1484	Reilly	Santa Clarita, Fresno	0.7529	920	Computational Media	0.9321	1122	618	Michael	0.8817	954	1153
3	990 m^3	0.6071	Fabrice	Santa Ana	1.0154	427	tECHNOLOGY AND iNFORMATION mANAGEMENT	0.452	441	1060	Vani	1.0967	1127	804
3	1128 m^3	0.8106	Fabrice	Santa Ana, Fremont	0.6785	194	Technology and Information Management	0.356	626	1135	Vani	0.7844	1251	1130
3	1087 m^3	0.7138	Fabrice	Santa Ana, Fremont	0.8556	557	Technology and Information Management	0.0802	622	774	Vani	1.0606	978	854
9	778 m^3	0.5013	Vani	Modesto	0.9241	974	Data Science	1.1001	809	668	Reilly	0.8327	1200	1240
2	993 m^3	0.8955	Eriq	Bakersfield	0.1236	685	Human Computer Interaction	0.8026	1016	999	lise	0.775	1190	851
3	762 m^3	0.6256	Fabrice	Santa Ana, Chula Vista	1.029	425	Technology and Information Management	0.1651	740	920	Vani	0.9749	986	855
8	1103 m^3	0.2957	Reilly	San Bernardino, Santa Clarita, Oakland	0.5736	1531	Computational Media	N/A	876	30	Michael	1.125	1063	1144
3	841 m^3	0.6023	Fabrice	Fremont	0.5583	216	Technology and Information Management	0.2488	940	1041	vANI	0.8539	1037	884
6	849 m^3	1.0496	Tony	San Francisco	0.8944	1116	Electrical Engineering	0.876	299	1093	Andrew	0.8181	581	1100
6	984 m^3	0.7752	Tony	Moreno Valley	0.8214	1106	Biotechnology	0.9838	276	833	Andrew	0.8273	-148	1115
2	1004 m^3	0.6746	Eriq	San Jose	-0.1225	933	Bioengineering	0.9368	1111	986	Lise	NULL	1111	896
5	1115 m^3	0.9161	Michael	Los Angeles	0.9708	859	Natural Language Processing	0.973	904	1245	Eriq	0.4843	1008	293
2	815 m^3	0.6816	Eriq	Bakersfield	0.0415	950	Human Computer Interaction	0.8788	961	887	Lise	0.9241	1274	1133
3	1058 m^3	0.697	Fabrice	Chula Vista, Fremont	0.7616	579	Technology and Information Management	0.3347	845	955	Vani	0.9307	1054	667
8	820 m^3	0.2723	Reilly	Fresno, Oakland	0.6531	1152	Computational Media	0.8854	1216	96	Michael	1.1342	1172	1134
1	1001 m^3	0.739	sAM	Stockton	0.9302	665	Bioinformatics	0.5988	1162	999	Chris	1.0807	72	960
7	910 m^3	0.9028	Chris	San Jose	1.089	1086	Robotics Engineering	0.9724	1250	836	Sam	0.9139	55	1210
2	864 m^3	0.8802	Eriq	San Bernardino	0.0873	1385	NULL	0.9042	1265	991	Lise	0.8519	1330	733
8	920 m^3	0.4594	Michael	Oakland, San Bernardino	0.7648	1113	COMPUTER ENGINEERING	1.1732	903	151	Michael	1.1292	1429	834
3	999 m^3	0.8057	Fabrice	Fremont	0.8389	453	Technology and Information Management	0.3946	1044	898	Vani	1.0137	885	972
2	1114 m^3	0.9083	Eriq	Bakersfield	0.1207	688	Human Computer Interaction	1.1915	1141	834	Lise	1.2081	1061	1186
0	1005 m^3	1.1229	Lise	Modesto	0.9906	988	STATISTICS	1.1381	876	681	Tony	0.1154	1049	907
0	942 m^3	0.6791	Lise	San Diego	1.0149	842	Statistics	1.1933	1218	783	Tony	0.1534	NULL	750
9	543 m^3	0.4262	Vani	Long Beach	1.0269	1092	Statistics	1.1134	614	1070	Reilly	1.1796	1205	985
3	1078 m^3	0.9218	Fabrice	Fremont	0.9781	267	Technology and Information Management	0.3368	682	1058	Vani	1.0091	912	819
0	1067 m^3	1.0922	Lise	Modesto	1.1403	536	Statistics	0.9606	949	669	Vani	0.0142	1185	1334
5	843 m^3	0.718	Michael	Irvine	1.077	781	NULL	1.0644	959	1021	Eriq	0.677	920	380
0	794 m^3	1.0909	Lise	Modesto	1.005	646	Computer Game Design	1.183	899	866	Tony	-0.0688	1296	802
9	376 m^3	0.4361	Vani	Anaheim	0.9876	1063	NATURAL LANGUAGE PROCESSING	1.0091	902	547	Reilly	1.2293	661	1037
2	897 m^3	0.5551	Eriq	Bakersfield	0.0991	929	Human Computer Interaction	1.0908	962	839	Lise	0.6458	1073	977
7	968 m^3	0.7043	Chris	Santa Clarita, Oakland	0.8592	1248	Robotics Engineering	0.816	1013	1144	Sam	1.3266	444	1166
3	1091 m^3	0.6685	Fabrice	Santa Ana, Chula Vista	0.881	237	Technology and Information Management	0.6315	None	1197	VANI	1.0544	761	748
6	1022 m^3	1.1142	Tony	Moreno Valley	1.0698	1238	Electrical Engineering	0.8745	262	809	Andrew	0.9768	456	722
6	996 m^3	0.892	Tony	FRESNO, SAN BERNARDINO	1.1262	744	Biotechnology	0.5427	218	890	Andrew	1.4931	-146	896
4	971 m^3	0.8189	Eriq	Sacramento	0.2532	1164	Computer Science	0.343	703	1184	Fabrice	0.9054	1081	1001
2	999 m^3	0.9423	Eriq	Bakersfield	0.2617	1014	Human Computer Interaction	1.2996	820	805	Lise	1.3618	1256	920
4	1136 m^3	0.8801	Inan	Riverside	0.2085	1261	Computer Science	0.7814	616	962	Fabrice	1.0068	1101	875
5	1099 m^3	0.6532	NULL	Irvine	0.8722	923	Applied Mathematics	1.0301	1050	1211	Eriq	0.7275	1342	66
4	899 m^3	0.7779	Inan	Sacramento	0.3687	1071	Computer Science	0.8557	492	950	fABRICE	1.0684	697	933
7	764 m^3	0.6405	Chris	San Jose	0.9474	1257	Robotics Engineering	0.7241	906	958	Sam	0.9841	404	989
6	1255 m^3	0.7098	Tony	San Francisco	1.0275	917	Biotechnology	0.6645	345	1129	Andrew	0.9066	-219	1006
4	823 m^3	0.9446	Andrew	Stockton	0.4743	1448	?	0.4137	589	1316	Fabrice	1.1204	625	610
2	824 m^3	0.7311	Eriq	Bakersfield	0.1802	1089	Human Computer Interaction	0.9548	878	840	Lise	0.8717	751	1194
6	1009 m^3	0.8992	Tony	Moreno Valley	1.2383	483	Biotechnology	0.7627	217	1067	Andrew	0.8054	46	1094
0	968 m^3	0.9844	Lise	Modesto	1.0935	1099	Computer Game Design	0.684	1018	721	Tony	-0.1328	1162	1028
3	724 m^3	0.7536	Fabrice	Fremont	0.7883	873	Technology and Information Management	0.0724	808	987	Vani	1.1613	711	532
0	1087 m^3	0.9071	Lise	Modesto	1.0439	932	Statistics	0.9454	858	977	Tony	0.0134	1268	1098
2	1204 m^3	0.6836	Eriq	Bakersfield	0.0132	947	Computer Engineering	1.2686	963	950	Lise	0.8999	1053	944
4	838 m^3	0.9267	Inan	Riverside	0.738	754	Computer Science	0.4582	803	753	Fabrice	0.8459	446	595
5	897 m^3	0.8478	Eriq	Los Angeles	0.8953	600	Natural Language Processing	0.8577	890	1309	Eriq	None	752	-44
5	1116 m^3	0.34	mICHAEL	Los Angeles	1.2395	734	Applied Mathematics	0.9006	858	983	Eriq	0.6056	1240	523
4	943 m^3	1.0253	Andrew	Sacramento	0.3836	1356	Computer Science	0.8971	752	987	Fabrice	1.0091	506	705
5	712 m^3	0.7659	Michael	Los Angeles	1.2236	449	Natural Language Processing	0.8091	701	866	Eriq	0.413	1195	256
4	983 m^3	0.9153	Andrew	Sacramento	0.3984	1019	Computer Science	0.5576	455	1110	Fabrice	1.1527	805	631
0	960 m^3	0.6646	Lise	San Diego	0.9604	1001	Computer Game Design	1.2941	856	264	Inan	-0.06	1043	1207
2	1237 m^3	0.9514	Eriq	Fresno, Santa Clarita	0.0149	911	Human Computer Interaction	1.2358	1213	987	LISE	1.0057	902	990
9	362 m^3	0.3671	Vani	Long Beach	1.2089	1162	Bioengineering	1.5001	572	635	Reilly	1.068	1253	791
3	1175 m^3	0.9424	Fabrice	Fremont, Santa Ana	0.7557	388	Games and Playable Media	0.1821	900	989	Vani	0.9157	824	1083
8	973 m^3	0.0264	Reilly	Oakland, San Bernardino	0.7687	902	Computer Engineering	1.064	1016	231	mICHAEL	0.8518	710	702
2	979 m^3	1.0714	Eriq	Bakersfield	-0.0372	1000	Human Computer Interaction	0.7989	1260	NULL	Lise	1.1406	1141	1088
4	1196 m^3	1.0994	Eriq	Riverside	0.1521	1028	Computer Science	0.7694	624	1085	Fabrice	0.923	778	658
9	212 m^3	0.706	Vani	Long Beach	0.8455	895	Data Science	0.8683	356	729	Reilly	1.0861	1301	829
1	1195 m^3	1.0837	Sam	Stockton	1.1374	723	Games and Playable Media	0.75	1233	1174	Chris	0.9462	-147	1021
7	1016 m^3	0.9554	Chris	San Jose	0.9435	1023	Robotics Engineering	0.4473	1057	1118	Sam	0.9425	374	1028
3	1193 m^3	0.929	Fabrice	Fremont, Santa Ana	NULL	803	Technology and Information Management	0.2986	888	1135	Vani	1.057	1283	738
7	928 m^3	0.9652	Chris	San Jose	0.7495	961	Robotics Engineering	0.7758	892	844	Chris	0.9023	449	891
2	1080 m^3	1.1091	Eriq	Bakersfield	-0.0824	982	Human Computer Interaction	0.5486	897	1129	Lise	0.807	1012	816
0	962 m^3	0.5844	Lise	Modesto	1.3504	683	Computer Game Design	0.8109	960	613	Inan	-0.0009	1108	1116
4	989 m^3	1.2719	iNAN	Riverside	0.127	1025	Computer Science	0.6351	664	1067	Fabrice	1.5385	725	962
1	524 m^3	0.9167	Sam	Stockton	1.0314	753	Bioinformatics	0.2926	1095	1004	Chris	0.8766	181	1073
8	1119 m^3	0.3641	Reilly	San Bernardino	0.6512	847	Computational Media	0.5463	678	186	Michael	1.1502	1188	835
5	788 m^3	0.5969	michael	Los Angeles	1.1417	136	Applied Mathematics	1.3107	913	909	Eriq	1.0029	1099	463
4	1030 m^3	0.9798	Inan	Riverside	0.24	701	Computer Science	0.5573	492	821	Fabrice	0.978	1018	540
1	995 m^3	0.8754	Sam	Stockton	1.1204	1182	Games and Playable Media	0.5164	1063	1012	Chris	0.9513	55	1195
8	995 m^3	0.257	Reilly	San Bernardino, Oakland	0.4728	1139	Computer Engineering	0.6694	1118	112	Michael	1.0821	1109	885
3	1363 m^3	0.6132	Fabrice	Chula Vista	0.7845	399	Technology and Information Management	0.1183	670	756	Vani	1.0722	879	1000
7	798 m^3	1.0461	Chris	San Jose	0.97	1094	Robotics Engineering	0.9381	983	1040	Sam	1.0362	567	1266
8	1108 m^3	0.1243	Reilly	San Bernardino, Oakland	0.9078	971	Computer Engineering	1.3129	860	463	Michael	0.9683	1144	1278
5	856 m^3	0.4254	Michael	Irvine	1.132	692	Applied Mathematics	1.1512	955	1147	Eriq	0.4927	577	194
1	1069 m^3	0.8131	Michael	Stockton	0.7682	657	Bioinformatics	0.4065	743	547	CHRIS	0.9239	-3	838
3	1187 m^3	0.8035	Fabrice	Santa Ana	0.7961	269	Technology and Information Management	0.4169	612	1006	Vani	1.1704	1138	898
5	916 m^3	0.6069	Chris	Los Angeles	0.8753	519	Applied Mathematics	1.2417	1084	1151	Eriq	0.716	1034	504
1	931 m^3	0.9452	Sam	Stockton	1.1761	999	Technology and Information Management	0.4568	823	1164	Chris	0.6404	110	954
7	905 m^3	0.7427	Chris	San Jose	0.9721	1228	ROBOTICS ENGINEERING	1.1537	802	1024	Sam	1.1856	469	920
2	1000 m^3	0.7489	Eriq	Bakersfield	0.1389	1117	Human Computer Interaction	0.5624	998	1050	Lise	0.9444	948	901
8	894 m^3	0.0874	Reilly	San Bernardino	0.5163	653	Computational Media	0.8276	830	318	Michael	0.8605	1042	1219
2	773 m^3	0.932	Eriq	Bakersfield	0.0559	1206	Human Computer Interaction	0.7219	774	908	Lise	1.4264	1026	924
7	838 m^3	0.445	CHRIS	San Jose	0.9192	861	Robotics Engineering	0.6082	1090	742	Sam	0.9731	313	1207
0	958 m^3	0.9832	Lise	San Diego	0.9452	723	Statistics	0.9435	1113	677	n/a	0.269	969	507
1	1024 m^3	1.0507	Sam	Stockton	1.017	755	GAMES AND PLAYABLE MEDIA	0.7373	801	811	Chris	1.0165	21	916
7	949 m^3	0.6011	Chris	San Jose	0.9654	841	Robotics Engineering	0.8579	813	1214	Sam	1.301	633	934
4	1032 m^3	1.2321	Andrew	San Diego	0.4584	1316	Computer Science	0.5853	454	801	Fabrice	1.1873	873	708
9	413 m^3	0.4834	Vani	Anaheim	1.0914	1331	Data Science	1.0384	508	889	Reilly	0.864	981	1210
5	1004 m^3	0.6246	Michael	Los Angeles	0.8268	918	Applied Mathematics	0.8049	611	952	Eriq	0.6549	989	296
9	270 m^3	0.5833	Fabrice	Long Beach	1.3299	1131	Data Science	1.0029	781	973	Reilly	1.0253	1085	1090
0	1216 m^3	0.7014	Lise	San Diego	0.8918	534	Statistics	1.2166	899		Inan	0.0511	1085	978
7	674 m^3	0.6405	Chris	San Jose	1.0338	1087	Computer Science	0.7639	840	814	Sam	0.7688	648	988
0	1096 m^3	0.6761	Lise	San Diego	1.2282	1117	Statistics	0.8443	1092	480	Inan	0.2114	898	886
1	978 m^3	1.2022	Sam	Stockton	1.0234	669	Bioinformatics	0.8282	1005	1262	Chris	1.2059	-80	946
0	1109 m^3	1.0023	Lise	San Diego	0.8054	582	Statistics	0.9057	947	932	Tony	0.4027	1146	1067
4	1092 m^3	0.783	Inan	Sacramento	0.5163	928	Computer Science	0.8712	757	986	Fabrice	1.1943	956	791
3	869 m^3	0.6764	Fabrice	Fremont	0.7645	235	Technology and Information Management	0.182	1012	658	Vani	1.0775	1220	611
9	611 m^3	0.5475	Vani	Anaheim	0.997	684	Data Science	0.7091	737	952	Reilly	1.1802	1325	1379
5	1147 m^3	0.7318	Michael	Los Angeles	1.1977	916	Applied Mathematics	0.9921	1086	923	Eriq	0.4891	995	78
0	1027 m^3	0.9686	Lise	San Diego	0.969	543	Statistics	0.9232	868	666	Tony	-0.0163	934	1345
2	993 m^3	1.1727	Eriq	Bakersfield	0.0834	823	Human Computer Interaction	1.0139	1147	1167	Lise	1.1532	883	1184
9	379 m^3	0.5517	Vani	Anaheim	1.0379	1062	Statistics	1.093	577	914	Reilly	1.1547	1044	998
6	1038 m^3	1.2793	Fabrice	Moreno Valley	1.0361	1345	Biotechnology	0.6353	401	1159	Andrew	1.0192	202	1096
4	759 m^3	0.7328	Inan	Sacramento	0.1881	876	Computer Science	0.737	854	931	Fabrice	0.9477	651	752
8	1112 m^3	0.197	Reilly	Santa Clarita	0.6192	802	Human Computer Interaction	0.9675	1205	262	Michael	None	1188	1100
2	840 m^3	1.0091	Eriq	Bakersfield	0.1832	993	Human Computer Interaction	1.0073	946	906	Lise	0.9252	956	933
9	222 m^3	0.4242	Vani	Anaheim	0.9277	830	Bioengineering	0.9567	683	776	Reilly	1.1659		1081
3	975 m^3	0.8153	Fabrice	Santa Ana	0.4742	744	Technology and Information Management	0.2671	807	704	Vani	0.9474	1081	1075
9	555 m^3	0.5626	Vani	Anaheim	0.8129	990	Bioengineering	1.4253	690	752	Reilly	1.1319	1085	734
7	947 m^3	0.7974	Chris	sAN jOSE	0.942	1082	Robotics Engineering	0.9674	1147	951	sAM	1.0971	473	909
6	938 m^3	0.7037	Tony	Moreno Valley	0.9333	1066	Electrical Engineering	0.9052	14	1131	Andrew	1.115	248	1131
7	832 m^3	0.6038	Chris	san jose	0.8927	1097	Robotics Engineering	0.7615	1022	695	Sam	0.8269	616	968
0	841 m^3	0.8165	Lise	San Diego	0.882	528	Statistics	0.7472	812	610	Inan	0.2679	1198	921
6	986 m^3	1.0595	Inan	San Francisco	1.214	806	Biotechnology	0.7902	303	1332	Andrew	1.0866	N/A	876
3	1022 m^3	0.9188	Fabrice	Fremont, Santa Ana	0.7883	306	Technology and Information Management	0.1368	922	749	Vani	0.9834	1013	721
1	935 m^3	1.0284	Sam	Stockton	0.9955	1013	Games and Playable Media	0.3718	1037	979	Chris	0.9949	56	800
3	1108 m^3	0.5412	fABRICE	Long Beach	0.9701	207	Technology and Information Management	0.2578	938	672	Vani	0.8579	1108	1059
3	1128 m^3	0.8972	Fabrice	Fremont	0.93	339	Technology and Information Management	0.4701	721	1239	Vani	1.2627	1290	960
2	1292 m^3	1.3145	Eriq	Bakersfield	0.0941	935	Human Computer Interaction	1.0248	1254	917	Lise	0.8099	1096	959
1	951 m^3	0.9395	Sam	Stockton	0.9432	1116	Games and Playable Media	0.2583	953	1157	Chris	0.8113	237	442
0	1066 m^3	1.0552	Lise	Modesto	0.9031	671	Statistics	1.0217	909	527	Tony	0.1176	1341	1164
8	820 m^3	0.1608	Reilly	Oakland, Fresno, Santa Clarita	0.6146	992	Computer Engineering	1.2472	920	399	Michael	1.168	953	1043
8	820 m^3	0.3756	Reilly	Fresno, Santa Clarita	0.5271	1117	Computer Engineering	0.7291	1022	237	Michael	1.1527	1067	1196
7	947 m^3	0.851	Chris	San Jose	0.6034	1006	Statistics	0.7867	1208	1036	Sam	0.9326	937	977
6	1104 m^3	0.8989	Tony	San Francisco	0.895	1285	Electrical Engineering	0.8676	129	635	Andrew	0.9406	n/a	942
8	951 m^3	0.1653	Reilly	Oakland, San Bernardino	0.4693	1268	Computer Engineering	1.1694	901	281	Michael	1.0625	1087	1042
